userId  itemId  original  prediction
199 867 4.0 2.004
199 868 3.0 2.004
199 336 2.0 3.482
199 3 1.0 3.53
199 888 4.0 2.004
199 890 2.5 2.004
199 17 3.5 3.034
199 606 3.5 2.776
199 893 3.0 2.004
199 898 2.5 2.5
198 252 2.0 3.687
198 121 3.0 3.765
198 257 4.0 3.423
198 253 2.5 3.686
597 234 3.0 3.53
1080 255 3.0 3.778
1080 207 3.0 3.552
195 12 2.0 3.383
598 4 4.0 3.712
598 235 4.0 3.131
598 10 4.0 3.255
197 220 2.0 3.242
197 213 2.0 3.809
197 241 3.5 3.559
197 13 2.0 3.706
197 12 1.5 3.562
197 253 2.5 3.479
196 216 2.0 3.356
196 241 3.0 3.212
196 233 2.5 3.413
196 219 4.0 3.733
191 236 4.0 3.628
191 254 4.0 3.64
191 205 3.5 3.712
190 250 3.5 3.764
190 5 3.0 3.912
190 243 3.5 3.595
190 241 3.5 3.586
190 13 3.0 3.805
190 244 2.5 3.685
190 207 2.0 3.339
193 10 1.0 3.833
193 236 4.0 3.585
193 255 4.0 3.948
192 241 2.5 3.509
270 211 2.5 3.778
270 10 4.0 3.753
270 215 2.5 3.636
270 5 2.5 3.938
271 256 1.0 3.733
271 245 4.0 3.792
272 204 4.0 3.759
272 923 1.0 1.226
272 270 2.5 2.941
272 889 3.0 0.5
272 213 2.5 3.112
272 959 3.5 2.0
272 207 0.5 2.728
272 963 3.0 2.712
272 615 3.0 2.712
272 710 1.5 2.0
272 11 3.0 3.417
272 972 3.5 2.712
272 591 1.5 1.5
272 981 3.0 2.712
272 932 2.5 2.5
272 20 2.5 3.052
272 419 3.5 3.273
272 499 3.0 2.339
272 236 3.0 3.104
272 679 1.5 2.5
272 550 3.0 2.982
272 308 3.0 4.0
272 557 3.0 2.712
272 668 3.0 2.404
272 747 2.0 2.567
272 1 2.0 3.002
272 681 1.5 2.924
273 12 3.0 3.473
274 219 4.0 3.853
274 233 4.0 3.714
274 250 4.0 3.741
274 3 4.0 3.778
274 12 4.0 3.616
274 246 4.0 3.782
274 251 4.0 3.792
1198 216 2.5 3.609
1198 11 4.0 3.816
1198 8 4.0 3.768
1198 244 3.5 3.826
1198 3 3.5 3.697
276 8 3.0 3.767
276 239 3.5 3.801
276 207 1.5 3.586
276 217 2.0 3.817
276 220 2.5 3.503
278 336 4.0 3.679
278 11 4.0 3.858
278 318 4.0 3.5
279 207 2.0 3.62
279 252 2.5 3.737
279 211 3.0 3.696
279 219 2.5 3.777
279 213 3.0 3.737
279 245 3.5 3.79
279 257 1.5 3.677
279 220 2.0 3.271
279 250 3.0 3.752
738 11 3.0 3.698
738 241 2.0 3.594
526 207 3.5 3.529
1457 252 2.5 3.751
1457 121 2.0 3.764
1457 6 4.0 3.779
1457 11 4.0 3.843
1457 239 2.5 3.869
1457 1 3.0 3.669
1457 250 3.5 3.751
520 207 3.5 3.578
520 4 3.0 3.921
520 11 4.0 3.945
520 253 2.5 3.67
521 8 3.5 3.633
1342 234 4.0 3.679
1342 247 3.5 3.738
1342 2 3.5 3.585
1342 210 3.5 3.577
1342 806 0.5 3.365
1342 4 4.0 3.778
523 251 4.0 3.689
523 257 4.0 3.634
523 211 3.5 3.688
1014 212 1.0 3.576
1014 1626 4.0 3.105
1014 252 3.0 3.688
1015 216 4.0 3.527
599 13 3.5 3.5
1017 215 1.0 3.64
528 7 4.0 3.477
528 932 3.0 3.333
1406 3 3.0 3.337
1406 805 3.5 3.751
1406 477 3.5 3.0
1406 17 1.0 3.342
1012 7 3.5 3.346
1012 214 3.5 3.565
1012 1 4.0 3.24
1013 13 3.0 3.713
1234 210 3.0 3.553
1234 216 3.0 3.66
1234 12 2.5 3.767
1234 247 3.5 3.671
1234 257 3.0 3.397
1234 2 3.5 3.729
1235 250 2.5 3.792
1235 255 3.0 3.709
1235 13 4.0 3.693
1235 245 4.0 3.709
1235 207 4.0 3.62
1235 217 0.5 3.609
1235 213 3.5 3.722
1235 216 2.5 3.642
449 211 2.0 3.844
449 5 4.0 3.815
448 235 3.0 3.132
448 215 3.5 3.42
448 11 3.5 3.787
448 424 4.0 3.543
1230 211 3.5 3.853
1230 249 4.0 3.711
1230 248 4.0 3.642
1230 247 4.0 3.875
1231 3 4.0 3.655
1231 11 4.0 3.833
1232 2 4.0 3.821
1232 270 3.5 3.063
1232 1 1.0 3.53
1335 9 3.5 3.521
1335 245 2.5 3.817
442 252 3.0 3.669
442 217 3.0 3.843
442 210 3.0 3.661
442 12 3.0 3.779
442 243 3.5 3.751
442 215 3.0 3.664
442 233 3.0 3.752
442 5 3.0 3.938
442 1 3.0 3.669
441 206 3.0 3.78
441 253 3.0 3.589
441 17 4.0 3.806
440 10 4.0 3.376
440 216 4.0 3.339
447 207 3.5 3.531
1330 1556 3.0 1.5
1330 1555 3.5 1.5
445 6 2.0 3.658
445 2 3.0 3.854
445 233 2.0 3.58
445 205 3.0 3.737
444 239 3.5 3.842
100 215 3.0 nan
1134 207 3.0 3.5
107 17 3.5 3.852
107 207 2.5 3.581
107 206 4.0 3.74
105 7 3.0 3.344
902 207 2.0 3.53
902 1091 4.0 2.891
902 239 3.5 3.606
902 592 2.0 2.891
903 207 3.5 3.472
903 12 2.5 3.647
39 257 3.0 3.033
39 84 3.5 3.503
39 235 3.0 2.999
38 239 0.5 3.329
38 219 3.5 3.351
38 211 3.5 3.707
38 11 1.5 3.806
38 241 1.5 3.137
38 206 1.0 3.36
38 257 1.5 3.28
906 1 3.5 3.3
906 236 3.0 3.622
906 434 4.0 4.0
907 248 3.0 3.589
907 241 2.5 3.525
907 251 2.5 3.694
905 249 2.5 3.612
905 206 3.0 3.711
905 6 3.0 3.778
905 212 3.0 3.738
905 251 3.0 3.738
905 216 2.0 3.581
33 213 3.0 3.47
1458 246 4.0 3.691
1458 236 4.0 3.656
1458 3 4.0 3.794
31 213 2.0 3.525
31 1 3.5 3.59
30 8 4.0 3.731
30 220 0.5 3.478
30 255 0.5 3.868
37 5 4.0 3.884
37 213 4.0 3.846
37 256 3.5 3.597
36 219 3.5 3.835
36 5 4.0 3.751
36 215 4.0 3.471
36 206 4.0 3.768
36 17 4.0 3.666
35 309 4.0 3.2
35 7 2.0 3.409
1459 781 2.5 3.0
641 235 2.5 3.423
640 17 3.5 3.668
640 1399 3.5 3.5
640 1400 3.0 2.875
640 1401 4.0 2.875
640 1405 3.0 3.5
643 17 4.0 3.752
642 10 3.0 3.423
645 913 4.0 3.079
645 241 2.5 3.302
645 8 1.5 3.395
645 2 3.0 3.428
644 760 3.0 3.357
644 7 3.0 3.532
438 255 1.5 3.938
438 212 2.5 3.594
439 250 3.5 3.726
439 12 2.0 3.629
439 235 3.0 3.425
436 3 3.0 3.526
437 249 2.0 3.36
437 211 4.0 3.724
437 255 3.5 3.72
437 121 1.5 3.551
437 214 2.5 3.533
437 256 2.0 3.294
437 243 1.0 3.471
437 254 0.5 3.579
432 205 1.5 3.712
432 217 3.5 3.529
433 1261 3.5 3.0
433 1266 4.0 3.043
430 585 3.5 3.0
339 84 3.5 3.554
338 11 4.0 3.792
335 205 3.0 3.713
335 255 3.5 3.864
335 17 2.5 3.832
335 211 4.0 3.739
335 2 3.0 3.744
335 244 3.5 3.777
335 4 3.0 3.902
331 9 4.0 3.5
331 211 4.0 3.778
331 2 4.0 3.586
331 250 3.0 3.751
330 212 3.5 3.776
330 245 4.0 3.889
330 3 4.0 3.679
330 220 0.5 3.527
330 213 3.5 3.884
330 247 3.0 3.723
330 210 3.0 3.61
330 253 4.0 3.608
330 239 3.0 3.792
333 220 3.5 3.44
333 5 3.0 3.696
333 243 0.5 3.565
1372 11 3.0 3.823
1372 255 4.0 3.72
744 220 3.0 3.303
744 206 3.0 3.706
744 3 3.5 3.534
744 13 4.0 3.722
744 11 4.0 3.805
745 10 3.5 3.588
745 11 3.0 3.816
854 241 3.0 3.535
818 213 4.0 3.863
818 241 3.0 3.67
818 234 3.0 3.868
818 249 3.0 3.615
818 257 4.0 3.418
818 84 3.0 3.851
857 1123 3.0 4.0
851 8 3.5 3.768
851 243 3.0 3.621
851 253 3.5 3.607
852 2 3.0 3.719
852 235 2.5 3.58
852 233 2.0 3.64
852 255 2.0 3.917
819 8 4.0 3.753
859 245 3.0 3.739
859 12 3.0 3.697
859 211 3.0 3.78
859 5 4.0 3.835
1375 245 2.5 3.882
1375 252 2.5 3.585
1375 7 3.5 3.555
1375 251 1.5 3.806
1375 215 4.0 3.555
1375 233 3.0 3.678
1375 213 4.0 3.779
1375 84 2.5 3.775
749 1 2.0 3.57
1469 1 1.0 3.203
1150 3 3.0 3.75
1150 17 3.0 3.725
1150 11 2.5 3.795
1150 244 2.5 3.843
1468 219 2.5 3.581
1468 675 4.0 3.248
1468 11 4.0 3.844
1468 1296 4.0 3.095
1468 1101 3.0 3.095
1434 205 2.0 3.78
1187 1530 2.0 2.75
1187 341 1.0 0.5
1187 1006 2.5 2.0
1187 1897 2.5 2.75
1187 249 3.5 3.234
1187 534 3.5 3.748
1187 738 2.0 1.981
1187 255 3.5 3.451
1187 242 2.5 3.471
1187 1907 2.5 2.75
1187 1440 3.5 4.0
1187 339 2.0 3.431
1187 211 2.5 3.632
1187 1011 2.5 2.0
1187 676 3.0 1.77
1187 219 3.0 3.589
1187 618 3.0 4.0
1187 1920 3.0 2.75
1187 1921 3.0 2.75
1187 431 3.5 2.505
1187 434 2.5 2.762
1187 548 3.0 2.5
1187 438 2.0 3.071
1187 318 3.0 3.171
99 5 3.0 3.845
98 584 4.0 3.5
98 587 3.5 1.159
98 588 4.0 3.318
98 217 3.0 3.856
98 318 4.0 3.731
98 591 4.0 1.5
98 592 4.0 2.0
1464 207 4.0 3.528
1464 235 3.5 3.324
1464 244 3.5 3.649
1464 9 2.5 3.5
1464 217 1.5 3.695
91 292 4.0 3.048
91 6 2.0 3.791
91 560 3.5 3.048
91 4 4.0 3.923
91 121 4.0 3.824
91 572 4.0 3.048
90 10 3.5 3.524
90 11 3.0 3.726
93 1 2.5 3.404
93 3 3.0 3.472
92 206 3.5 3.619
92 253 3.5 3.477
92 255 3.0 3.791
95 7 3.5 3.711
95 580 4.0 3.368
95 248 3.0 3.706
95 245 3.5 3.817
1467 233 3.5 3.724
1467 239 3.5 3.802
1467 220 3.5 3.445
97 212 2.5 3.7
97 207 3.5 3.64
97 17 4.0 3.862
97 121 3.0 3.686
97 251 2.0 3.583
97 214 3.0 3.66
97 217 1.5 3.764
97 247 4.0 3.531
97 9 4.0 3.579
96 121 4.0 3.686
96 243 3.5 3.629
96 255 3.0 3.827
96 250 4.0 3.697
1466 1222 3.0 2.5
1466 207 3.5 3.434
1466 8 3.0 3.465
1466 17 3.5 3.622
814 207 4.0 3.695
814 206 4.0 3.806
814 2 3.5 3.652
814 210 1.0 3.627
814 217 2.5 3.825
814 212 3.5 3.779
814 8 4.0 3.766
815 257 3.0 2.971
815 1 3.0 3.03
815 212 0.5 3.301
815 205 0.5 3.426
815 250 0.5 3.333
815 254 0.5 3.027
815 1179 4.0 1.608
815 8 1.0 3.686
815 216 0.5 3.307
1485 11 3.5 3.895
1485 7 3.0 3.278
1352 246 3.0 3.769
1352 1 3.0 3.669
1352 216 3.5 3.739
1352 252 3.0 3.696
1352 6 4.0 3.843
1352 214 3.5 3.833
741 7 3.0 3.696
743 2 4.0 3.498
559 216 2.0 3.635
559 3 2.5 3.556
559 84 2.5 3.602
559 217 4.0 3.71
558 13 3.5 nan
746 210 3.0 3.628
746 236 4.0 3.645
746 205 2.5 3.792
746 234 2.5 3.964
746 212 4.0 3.843
746 245 4.0 3.869
746 7 3.0 3.688
746 10 1.5 3.836
746 2 3.5 3.664
747 254 3.5 3.765
747 206 4.0 3.862
747 8 4.0 3.769
747 121 3.0 3.738
747 2 3.0 3.727
747 243 3.5 3.68
747 11 4.0 3.842
555 234 2.5 3.854
555 247 3.5 3.725
555 257 3.0 3.478
554 318 4.0 3.611
554 5 4.0 3.707
557 210 2.5 3.602
557 1 3.0 3.642
556 251 3.5 3.613
556 9 4.0 3.34
550 219 4.0 3.765
550 213 3.0 3.64
553 11 3.5 3.815
553 8 0.5 3.779
552 216 2.5 3.58
238 235 3.0 3.315
238 5 3.5 3.845
238 121 3.5 3.685
238 255 3.0 3.861
239 9 4.0 3.531
239 1 2.0 3.417
234 219 2.5 3.475
234 2 2.5 3.912
235 7 4.0 3.686
235 245 3.5 3.792
235 121 1.5 3.685
235 239 4.0 3.842
235 206 4.0 3.861
235 213 4.0 3.843
235 216 3.0 3.739
235 257 2.0 3.501
235 17 1.0 3.724
237 7 2.5 3.625
1351 12 2.5 3.437
1351 13 3.5 3.557
1351 206 3.0 3.776
231 5 3.5 3.912
232 206 3.0 3.647
1050 254 2.0 3.587
1050 2 3.5 3.593
1050 219 2.5 3.712
1050 216 2.5 3.501
1050 235 2.5 3.185
1050 251 2.5 3.64
1051 520 4.0 3.389
1052 205 4.0 3.791
1052 216 4.0 3.581
1311 254 3.0 3.768
1311 257 3.5 3.415
1311 1 3.5 3.697
1311 213 3.5 3.652
1311 12 3.5 3.672
1056 215 3.5 3.612
1056 205 2.5 3.775
1056 210 3.5 3.141
1193 210 2.5 3.634
1193 254 3.0 3.817
1193 241 3.0 3.824
1193 215 4.0 3.636
1193 219 3.0 3.947
1193 207 1.5 3.614
1193 244 4.0 3.729
1193 239 2.5 3.781
1195 1 4.0 3.737
1197 213 3.5 3.725
1197 17 3.5 3.587
1197 245 4.0 3.752
1 8 3.0 3.601
614 5 3.0 3.814
614 1374 3.0 3.03
614 9 2.5 3.523
614 247 3.0 3.534
614 239 4.0 3.778
614 215 4.0 3.61
1486 206 3.0 3.688
1486 235 3.0 3.348
1486 84 2.5 3.802
146 7 4.0 3.635
146 12 3.5 3.678
146 246 2.5 3.751
147 245 3.0 3.806
144 278 4.0 3.254
144 7 4.0 3.577
1174 732 4.0 3.5
1174 242 4.0 3.559
142 3 3.5 3.503
1171 215 3.5 3.654
1183 5 3.5 3.706
1183 255 3.5 3.815
1270 449 1.0 2.75
613 207 4.0 3.588
613 5 1.0 3.907
613 17 3.0 3.805
613 234 3.0 3.935
613 9 2.0 3.594
613 241 4.0 3.687
613 210 2.5 3.628
613 257 3.0 3.416
613 239 4.0 3.851
613 213 3.5 3.917
610 241 4.0 3.632
610 245 3.5 3.74
610 12 3.0 3.721
1273 215 3.0 3.584
1273 1 3.0 3.503
1273 210 3.0 3.448
616 10 3.5 3.647
616 7 4.0 3.624
616 254 3.0 3.55
616 5 3.5 3.777
616 1054 3.5 2.84
148 235 3.5 3.031
615 121 3.5 3.869
615 239 3.0 3.724
615 3 4.0 3.766
615 254 2.5 3.588
615 1 3.0 3.587
912 2 4.0 3.408
912 211 0.5 3.834
1139 1 1.5 3.581
1139 254 2.5 3.702
1139 236 2.5 3.54
1139 5 3.0 3.938
1006 8 3.0 3.801
1006 11 3.5 3.842
1006 121 2.5 3.791
1006 247 3.0 3.708
951 8 3.5 3.651
1318 13 3.0 3.83
1318 251 4.0 3.835
1318 254 4.0 3.715
1318 256 4.0 3.711
1318 220 4.0 3.578
1318 1 2.5 3.645
1318 9 4.0 3.575
1318 252 3.0 3.699
1005 241 3.5 3.625
1284 236 3.5 3.75
1287 939 4.0 3.036
1287 434 4.0 3.036
1287 12 2.0 3.723
1004 211 4.0 3.791
1281 219 2.5 3.696
1280 206 3.5 3.678
1280 249 3.0 3.505
948 205 3.5 3.635
948 84 2.0 3.579
948 257 3.5 3.072
948 214 3.0 3.535
949 8 3.0 3.621
949 257 3.0 3.447
949 10 1.0 3.682
949 2 2.5 3.745
949 9 3.0 3.445
946 245 3.0 3.602
946 10 3.0 3.695
946 205 4.0 3.751
946 249 2.5 3.499
947 252 2.0 3.634
947 235 3.5 3.321
947 207 3.0 3.613
947 11 4.0 3.791
947 13 3.5 3.749
947 9 4.0 3.551
947 8 4.0 3.821
947 215 3.0 3.583
944 10 3.5 3.827
944 17 2.0 3.709
944 257 4.0 3.369
944 7 4.0 3.894
945 207 1.0 3.502
942 257 4.0 3.411
942 2 4.0 3.751
942 255 4.0 3.794
1288 1932 3.5 3.214
1288 431 3.5 3.214
1288 678 1.5 2.0
1288 219 3.5 3.604
1288 746 4.0 3.5
940 219 3.5 3.824
1472 5 3.0 3.75
768 11 2.5 3.938
768 17 3.0 3.851
1471 207 3.0 3.398
1471 342 4.0 3.208
689 250 4.0 nan
1001 205 4.0 3.921
1001 207 3.0 3.529
1474 215 2.5 3.662
1474 256 3.5 3.596
1475 207 2.5 3.56
1475 219 2.0 3.836
1475 252 3.0 3.779
685 206 2.5 3.779
685 6 0.5 3.722
685 11 1.0 3.795
1494 215 4.0 3.894
1478 245 3.0 3.868
1478 206 3.5 3.791
1478 12 3.5 3.738
1478 233 2.0 3.672
1478 5 2.0 3.847
1478 210 2.5 3.702
1478 8 2.0 3.768
1478 246 2.5 3.69
1000 243 1.5 3.53
1000 206 0.5 3.679
1000 12 1.0 3.53
1000 256 1.0 3.411
1000 245 2.0 3.791
681 236 3.5 3.312
680 7 3.5 3.659
683 1 4.0 3.609
1495 12 3.5 2.778
1304 8 4.0 3.716
1304 245 3.0 3.766
1304 243 2.5 3.474
1304 121 3.0 3.653
1304 219 4.0 3.791
1304 4 4.0 3.826
1348 548 3.0 2.714
1348 11 3.0 3.791
1348 251 2.0 3.555
1307 1 2.5 3.779
1307 234 3.0 3.656
1307 12 2.0 3.834
1300 211 4.0 3.895
1300 239 2.5 3.817
1300 214 3.0 3.695
1301 220 1.5 3.45
1301 11 4.0 3.805
1301 9 4.0 3.597
1302 216 4.0 3.661
1302 207 4.0 3.585
622 2 3.0 3.38
622 239 3.0 3.641
622 257 2.5 3.628
622 12 3.5 3.641
622 207 2.0 3.474
1497 205 3.0 2.724
1308 217 3.0 3.669
1225 121 1.5 3.711
1225 210 4.0 3.627
1225 213 2.0 3.835
1225 255 2.5 3.843
1225 1 1.5 3.638
1225 234 1.5 3.877
1498 17 4.0 3.764
1498 234 2.5 3.821
1498 220 1.0 3.281
130 10 2.5 3.689
130 3 4.0 3.688
130 215 4.0 3.684
130 11 3.0 3.726
137 254 3.0 3.752
137 8 4.0 3.769
137 220 3.0 3.448
137 214 3.0 3.697
137 84 3.0 3.802
137 234 2.0 3.901
136 623 4.0 3.663
136 628 2.5 3.663
136 4 4.0 3.87
136 645 3.5 3.5
136 650 4.0 3.5
135 215 3.0 3.3
494 10 3.0 3.808
494 213 3.5 3.891
495 243 2.0 3.735
139 256 3.0 3.783
139 244 3.0 3.729
139 9 3.0 3.576
139 252 3.0 3.764
139 217 2.5 3.698
138 212 4.0 3.727
138 121 3.0 3.686
138 7 4.0 3.686
490 2 2.0 3.777
490 252 3.0 3.614
492 245 3.0 3.791
492 10 3.0 3.67
492 213 3.0 3.835
492 257 2.0 3.668
492 251 3.0 3.686
492 249 3.0 3.474
492 234 1.5 3.703
492 205 2.5 3.817
1222 214 3.0 3.433
1222 205 0.5 3.677
25 11 4.0 3.78
25 247 2.5 3.697
25 12 1.5 3.584
25 205 2.5 3.766
27 255 1.5 3.709
27 216 2.0 3.588
27 2 1.0 3.911
21 247 4.0 3.726
21 248 4.0 3.713
21 233 4.0 3.726
21 241 4.0 3.617
22 255 4.0 3.601
23 207 3.0 3.465
1220 13 4.0 3.476
1220 252 1.5 3.557
28 2 3.0 3.686
28 9 3.5 3.575
28 205 3.5 3.79
28 250 3.0 3.843
28 84 2.5 3.802
28 233 3.0 3.783
29 267 0.5 2.774
29 294 3.5 3.424
29 295 3.0 3.229
1371 207 3.5 3.472
406 5 4.0 3.969
406 249 4.0 3.59
406 250 4.0 3.724
406 256 3.0 3.765
405 341 3.0 3.5
404 4 3.5 3.818
403 255 2.5 3.611
403 7 2.5 3.75
403 8 2.5 3.43
402 1239 0.5 2.5
402 1243 1.0 2.159
402 1245 3.5 4.0
401 255 3.5 3.918
401 215 3.5 3.522
401 245 3.5 3.808
401 247 3.0 3.753
401 3 3.5 3.668
1279 248 2.5 3.791
1279 84 3.0 3.753
1279 245 3.0 3.792
1279 8 3.5 3.803
1279 13 2.5 3.829
1279 257 2.0 3.447
933 1 2.0 3.529
1378 205 3.5 3.724
1378 8 3.0 3.67
931 1 2.0 3.448
931 220 3.5 3.422
931 235 3.0 3.243
930 255 3.0 3.885
930 206 3.0 3.634
930 247 3.5 3.68
930 3 2.0 3.65
629 213 3.0 3.724
629 205 4.0 3.751
629 2 3.0 3.646
935 244 3.0 3.714
935 205 3.5 3.817
935 121 3.5 3.478
408 3 4.0 3.502
628 241 4.0 3.608
628 17 4.0 3.694
628 239 2.0 3.749
628 211 3.5 3.708
1452 236 3.0 3.487
1452 253 1.5 3.374
1316 219 1.0 3.75
1316 10 4.0 3.572
1028 7 3.0 3.694
1344 278 3.5 2.739
1212 1937 3.5 3.0
1212 1603 4.0 3.07
1212 1940 2.0 2.0
1212 453 0.5 3.07
1212 1617 3.5 4.0
1212 4 2.5 3.565
1212 207 2.5 3.092
1212 11 3.0 3.856
1345 216 4.0 3.552
1345 11 4.0 3.807
1345 6 3.5 3.835
1346 206 2.5 3.8
1346 235 2.5 3.688
1346 693 3.5 2.4
1228 216 2.5 3.75
1228 206 2.5 3.779
1228 253 0.5 3.738
1228 220 3.0 3.425
1453 253 3.5 3.661
1453 17 3.0 3.751
1453 13 3.5 3.696
1453 251 2.5 3.635
379 255 2.5 3.667
829 245 4.0 3.64
829 123 4.0 2.925
829 1397 1.0 2.925
1060 1228 3.0 2.556
1060 781 4.0 3.093
1060 691 4.0 1.813
1060 8 1.5 2.942
1060 489 3.5 2.007
1060 391 3.0 3.202
1060 675 2.5 3.23
1060 583 4.0 2.391
825 1561 4.0 3.431
825 432 4.0 3.161
825 719 2.5 2.075
825 752 4.0 2.317
370 236 2.5 3.617
370 235 3.0 3.342
370 1208 4.0 3.313
826 220 1.5 3.399
826 6 4.0 3.817
826 249 3.5 3.644
826 246 4.0 3.765
821 3 3.5 3.68
821 252 3.5 3.661
374 121 2.5 3.658
374 239 3.0 3.869
374 256 1.0 3.715
374 243 3.0 3.537
374 11 3.0 3.792
374 210 2.0 3.581
374 249 2.5 3.535
377 10 4.0 3.75
848 11 4.0 3.781
848 13 4.0 3.775
708 1507 1.5 3.0
709 11 4.0 3.821
1176 588 4.0 nan
705 234 4.0 3.708
706 7 1.0 3.799
